Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0008665,3.02,=,-3.57,1,48,,
Mavda,TMPRSS2,ASAP-0008653,10.8,=,-4.02,1,48,,
Mavda,TMPRSS2,ASAP-0008653,9.14,=,-2.62,1,48,,
Mavda,TMPRSS2,ASAP-0008642,13.6,=,-8.49,1,48,,
Mavda,TMPRSS2,ASAP-0008642,10.8,=,-2.74,1,48,,
Mavda,TMPRSS2,ASAP-0008639,5.15,=,-2.25,1,48,,
Mavda,TMPRSS2,ASAP-0008639,5.43,=,-2.4,1,48,,
Mavda,TMPRSS2,ASAP-0008502,2.87,=,-3.58,1,48,,
Mavda,TMPRSS2,ASAP-0008502,2.85,=,-2.81,1,48,,
Mavda,TMPRSS2,ASAP-0008489,5.59,=,-2.55,1,48,,
Mavda,TMPRSS2,ASAP-0008489,7.32,=,-2.44,1,48,,
Mavda,TMPRSS2,ASAP-0008479,7.3,=,-2.48,1,48,,
Mavda,TMPRSS2,ASAP-0008479,10.5,=,-2.56,1,48,,
Mavda,TMPRSS2,ASAP-0008452,12.6,=,-10.4,1,48,,
Mavda,TMPRSS2,ASAP-0008452,24.1,=,-1.76,1,48,,
Mavda,TMPRSS2,ASAP-0008451,11.5,=,-13,1,48,,
Mavda,TMPRSS2,ASAP-0008451,12.5,=,-6.8,1,48,,
Mavda,TMPRSS2,ASAP-0008420,2.73,=,-2.08,1,48,,
Mavda,TMPRSS2,ASAP-0008420,4.32,=,-2.31,1,48,,
Mavda,TMPRSS2,ASAP-0008411,7.8,=,-2.66,1,48,,
Mavda,TMPRSS2,ASAP-0008411,9.38,=,-2.53,1,48,,
Mavda,TMPRSS2,ASAP-0008330,3.97,=,-13.3,1,48,,
Mavda,TMPRSS2,ASAP-0008330,6.71,=,-2.44,1,48,,
Mavda,TMPRSS2,ASAP-0008315,36,>,-0.529,1,48,,
Mavda,TMPRSS2,ASAP-0008315,36,=,,1,48,,
Mavda,TMPRSS2,ASAP-0008314,3.91,=,-7.45,1,48,,
Mavda,TMPRSS2,ASAP-0008314,3.41,=,-2.88,1,48,,
Mavda,TMPRSS2,ASAP-0008258,5.69,=,-2.34,1,48,,
Mavda,TMPRSS2,ASAP-0008258,6.12,=,-2.18,1,48,,
Mavda,TMPRSS2,ASAP-0000774,1.24,=,-15.2,1,48,,
Mavda,TMPRSS2,ASAP-0000774,1.92,=,-2.78,1,48,,
Mavda,TMPRSS2,ASAP-0000738,1.69,=,-3.12,1,48,,
Mavda,TMPRSS2,ASAP-0000738,1.71,=,-2.85,1,48,,
Mavda,TMPRSS2,ASAP-0000734,8.3,=,-1.95,1,48,,
Mavda,TMPRSS2,ASAP-0000734,7.19,=,-1.75,1,48,,
Mavda,TMPRSS2,ASAP-0000733,0.733,=,-3.67,1,48,,
Mavda,TMPRSS2,ASAP-0000733,0.458,=,-10,1,48,,
